"user_id,""username"",""total_sessions"",""total_completed"",""completion_rate"",""avg_time_spent"",""avg_death_count"",""avg_max_checkpoint"",""avg_progress_score"",""avg_survival_score"",""avg_efficiency_score"",""avg_skill_score"",""min_skill_score"",""best_skill_score"",""first_session_at"",""last_session_at"",""skill_category"",""activity_category"""
"3257447993,""Clamsxeny"",""85"",""14"",""16.47"",""199.02"",""7.40"",""2.60"",""0.5200"",""0.6407"",""0.6413"",""0.5688"",""0.0000"",""1.0000"",""2025-01-08 07:18:53.269172"",""2026-05-12 23:49:41"",""Pemain Menengah"",""Pemain Aktif"""
"USER_45,""Player_45"",""51"",""9"",""17.65"",""444.67"",""15.00"",""3.12"",""0.6235"",""0.6346"",""0.4682"",""0.5698"",""0.2897"",""0.9783"",""2025-01-08 08:12:07.165302"",""2026-05-03 03:53:55.204411"",""Pemain Menengah"",""Pemain Aktif"""
"USER_16,""Player_16"",""47"",""13"",""27.66"",""415.57"",""15.91"",""3.34"",""0.6681"",""0.5730"",""0.5037"",""0.5782"",""0.3012"",""0.8797"",""2025-01-12 04:56:48.529296"",""2026-04-28 14:16:30.013898"",""Pemain Menengah"",""Pemain Aktif"""
"USER_23,""Player_23"",""46"",""9"",""19.57"",""498.39"",""14.11"",""3.17"",""0.6348"",""0.6389"",""0.4272"",""0.5625"",""0.2717"",""0.9542"",""2025-01-04 02:21:30.013338"",""2026-05-09 03:38:12.041987"",""Pemain Menengah"",""Pemain Aktif"""
"USER_22,""Player_22"",""45"",""7"",""15.56"",""446.51"",""16.42"",""3.07"",""0.6133"",""0.5979"",""0.4466"",""0.5508"",""0.2309"",""0.9281"",""2025-01-05 09:02:33.151517"",""2026-05-03 05:40:50.505588"",""Pemain Menengah"",""Pemain Aktif"""
"USER_35,""Player_35"",""45"",""5"",""11.11"",""441.47"",""16.29"",""2.82"",""0.5644"",""0.5828"",""0.4361"",""0.5248"",""0.1129"",""0.8789"",""2025-01-04 05:33:44.412809"",""2026-04-25 08:01:53.36464"",""Pemain Menengah"",""Pemain Aktif"""
"USER_14,""Player_14"",""45"",""6"",""13.33"",""438.11"",""16.22"",""2.89"",""0.5778"",""0.6103"",""0.4310"",""0.5414"",""0.2370"",""0.9450"",""2025-01-12 03:55:22.536745"",""2026-05-10 11:45:52.386398"",""Pemain Menengah"",""Pemain Aktif"""
"USER_46,""Player_46"",""45"",""10"",""22.22"",""425.80"",""14.42"",""3.20"",""0.6400"",""0.5778"",""0.5406"",""0.5750"",""0.2270"",""0.9097"",""2025-01-25 08:47:44.214462"",""2026-05-01 08:38:29.272275"",""Pemain Menengah"",""Pemain Aktif"""
"USER_7,""Player_7"",""44"",""4"",""9.09"",""421.09"",""13.43"",""2.86"",""0.5727"",""0.5923"",""0.4803"",""0.5377"",""0.2432"",""0.7209"",""2025-01-05 22:09:29.482764"",""2026-05-11 04:24:45.081819"",""Pemain Menengah"",""Pemain Aktif"""
"USER_48,""Player_48"",""44"",""9"",""20.45"",""392.64"",""17.02"",""3.27"",""0.6545"",""0.5673"",""0.5161"",""0.5717"",""0.2047"",""0.9356"",""2025-01-05 21:56:15.370597"",""2026-04-30 09:46:24.807713"",""Pemain Menengah"",""Pemain Aktif"""
"USER_42,""Player_42"",""42"",""5"",""11.90"",""524.36"",""19.71"",""2.57"",""0.5143"",""0.5504"",""0.3725"",""0.4753"",""0.1617"",""0.9486"",""2025-01-04 21:23:27.607389"",""2026-04-11 00:33:50.98679"",""Pemain Menengah"",""Pemain Aktif"""
"USER_18,""Player_18"",""42"",""6"",""14.29"",""433.10"",""14.00"",""3.02"",""0.6048"",""0.5818"",""0.4965"",""0.5529"",""0.2820"",""0.9172"",""2025-01-09 20:39:40.482969"",""2026-03-30 21:27:45.274042"",""Pemain Menengah"",""Pemain Aktif"""
