"date","total_sessions","total_players","total_completed","completion_rate","average_deaths","average_time_spent"
"2025-01-01","2","2","1","50.00","14.50","550.00"
"2025-01-02","1","1","0","0.00","18.00","353.00"
"2025-01-04","6","5","0","0.00","14.17","522.17"
"2025-01-05","4","4","1","25.00","15.75","413.75"
"2025-01-06","3","3","1","33.33","13.67","432.33"
"2025-01-07","2","2","0","0.00","13.00","824.00"
"2025-01-08","6","6","1","16.67","21.67","284.83"
"2025-01-09","4","4","1","25.00","29.00","707.50"
"2025-01-10","3","3","0","0.00","23.33","299.33"
"2025-01-11","1","1","0","0.00","8.00","394.00"
"2025-01-12","4","4","1","25.00","19.50","493.25"
"2025-01-13","5","4","0","0.00","9.60","396.40"
"2025-01-14","1","1","0","0.00","7.00","132.00"
"2025-01-15","3","3","0","0.00","7.67","597.00"
"2025-01-16","4","4","0","0.00","19.50","451.00"
"2025-01-17","2","2","0","0.00","5.50","346.50"
"2025-01-18","1","1","0","0.00","44.00","316.00"
"2025-01-19","4","3","0","0.00","18.75","505.50"
"2025-01-20","1","1","0","0.00","46.00","568.00"
"2025-01-21","3","3","0","0.00","18.00","623.00"
"2025-01-22","3","3","0","0.00","30.67","693.67"
"2025-01-23","4","4","1","25.00","22.00","369.75"
"2025-01-24","5","4","1","20.00","14.80","590.80"
"2025-01-25","4","4","0","0.00","9.25","431.75"
"2025-01-26","4","4","0","0.00","16.25","824.50"
"2025-01-27","3","3","0","0.00","14.67","728.00"
"2025-01-29","3","3","0","0.00","21.33","512.67"
"2025-01-30","6","5","0","0.00","15.33","545.67"
"2025-01-31","4","4","1","25.00","14.25","511.25"
"2025-02-01","7","7","1","14.29","11.43","450.86"
"2025-02-02","2","2","1","50.00","15.50","693.00"
"2025-02-03","2","2","1","50.00","17.50","367.00"
"2025-02-04","2","2","1","50.00","13.50","591.50"
"2025-02-05","2","2","0","0.00","28.00","816.50"
"2025-02-06","4","4","0","0.00","13.25","576.50"
"2025-02-07","2","2","0","0.00","31.50","387.00"
"2025-02-08","3","3","0","0.00","24.67","462.00"
"2025-02-09","2","2","0","0.00","16.00","91.50"
"2025-02-10","1","1","1","100.00","31.00","202.00"
"2025-02-11","2","2","0","0.00","34.00","634.00"
"2025-02-12","3","3","2","66.67","8.67","383.33"
"2025-02-13","2","2","0","0.00","13.00","187.00"
"2025-02-14","4","4","2","50.00","21.75","413.50"
"2025-02-15","4","4","1","25.00","8.00","539.25"
"2025-02-16","5","5","2","40.00","14.20","578.20"
"2025-02-17","3","3","1","33.33","12.00","512.33"
"2025-02-18","1","1","0","0.00","17.00","268.00"
"2025-02-19","5","5","0","0.00","12.00","608.40"
"2025-02-20","1","1","0","0.00","12.00","650.00"
"2025-02-21","5","5","0","0.00","12.60","444.00"
"2025-02-22","4","4","1","25.00","14.75","399.50"
"2025-02-23","4","4","0","0.00","10.00","546.75"
"2025-02-24","3","3","0","0.00","11.67","393.00"
"2025-02-25","6","6","1","16.67","11.83","478.83"
"2025-02-26","4","4","1","25.00","16.50","573.25"
"2025-02-27","2","2","0","0.00","1.50","576.00"
"2025-02-28","3","3","1","33.33","19.67","596.00"
"2025-03-01","1","1","0","0.00","6.00","345.00"
"2025-03-02","1","1","0","0.00","14.00","451.00"
"2025-03-03","3","3","0","0.00","8.33","509.33"
"2025-03-04","2","2","0","0.00","8.50","452.00"
"2025-03-05","3","3","0","0.00","8.00","423.00"
"2025-03-06","3","3","0","0.00","9.33","775.67"
"2025-03-07","1","1","0","0.00","12.00","1154.00"
"2025-03-08","1","1","0","0.00","16.00","497.00"
"2025-03-09","1","1","0","0.00","4.00","316.00"
"2025-03-10","3","3","0","0.00","24.67","656.33"
"2025-03-11","3","3","0","0.00","13.67","579.33"
"2025-03-12","3","3","0","0.00","27.00","477.33"
"2025-03-13","1","1","0","0.00","17.00","278.00"
"2025-03-14","1","1","0","0.00","7.00","963.00"
"2025-03-15","2","2","0","0.00","16.50","436.50"
"2025-03-16","1","1","1","100.00","16.00","279.00"
"2025-03-17","5","5","2","40.00","9.20","268.00"
"2025-03-18","4","4","0","0.00","21.00","328.00"
"2025-03-19","2","2","0","0.00","10.50","268.50"
"2025-03-20","2","2","0","0.00","19.50","410.00"
"2025-03-21","2","1","1","50.00","25.50","201.50"
"2025-03-22","2","2","1","50.00","27.00","294.50"
"2025-03-23","3","3","0","0.00","10.00","618.00"
"2025-03-24","5","5","0","0.00","7.80","590.80"
"2025-03-25","3","3","1","33.33","17.00","619.67"
"2025-03-26","2","2","0","0.00","17.50","453.00"
"2025-03-27","3","3","0","0.00","31.00","291.33"
"2025-03-28","2","2","0","0.00","12.50","765.50"
"2025-03-29","2","2","1","50.00","10.00","640.50"
"2025-03-30","2","2","0","0.00","26.50","622.00"
"2025-03-31","2","2","0","0.00","12.00","787.00"
"2025-04-01","5","5","1","20.00","11.40","442.20"
"2025-04-02","1","1","1","100.00","4.00","567.00"
"2025-04-03","4","4","1","25.00","13.75","424.25"
"2025-04-04","3","3","1","33.33","7.00","413.33"
"2025-04-05","4","4","0","0.00","11.00","530.25"
"2025-04-06","4","3","1","25.00","18.00","430.75"
"2025-04-07","2","2","0","0.00","27.00","266.00"
"2025-04-08","1","1","0","0.00","20.00","324.00"
"2025-04-09","1","1","0","0.00","25.00","206.00"
"2025-04-10","6","6","0","0.00","24.50","337.67"
"2025-04-11","3","3","0","0.00","23.00","633.00"
"2025-04-12","2","2","1","50.00","14.50","860.50"
"2025-04-13","6","5","2","33.33","9.00","480.67"
"2025-04-14","1","1","0","0.00","5.00","632.00"
"2025-04-15","4","4","0","0.00","28.00","425.50"
"2025-04-16","1","1","0","0.00","15.00","317.00"
"2025-04-17","2","2","0","0.00","16.50","722.50"
"2025-04-18","4","4","0","0.00","14.00","478.50"
"2025-04-19","6","6","0","0.00","20.33","325.50"
"2025-04-20","6","6","2","33.33","11.50","563.17"
"2025-04-21","4","4","1","25.00","14.50","386.25"
"2025-04-22","6","6","3","50.00","15.83","265.50"
"2025-04-23","3","3","1","33.33","18.00","632.67"
"2025-04-24","2","2","1","50.00","14.00","405.50"
"2025-04-25","7","6","2","28.57","18.29","470.29"
"2025-04-26","5","5","1","20.00","19.20","499.40"
"2025-04-27","5","5","0","0.00","12.60","304.20"
"2025-04-28","2","2","0","0.00","2.00","212.50"
"2025-04-29","4","4","0","0.00","17.00","452.00"
"2025-04-30","3","3","1","33.33","24.00","306.33"
"2025-05-01","5","5","2","40.00","14.60","448.80"
"2025-05-02","2","2","0","0.00","6.00","378.00"
"2025-05-03","4","4","3","75.00","11.00","543.75"
"2025-05-04","1","1","0","0.00","22.00","358.00"
"2025-05-05","1","1","1","100.00","20.00","219.00"
"2025-05-06","4","4","3","75.00","5.00","428.50"
"2025-05-07","4","4","0","0.00","16.00","560.50"
"2025-05-08","1","1","0","0.00","25.00","362.00"
"2025-05-09","4","2","0","0.00","19.00","587.00"
"2025-05-10","5","4","0","0.00","18.00","383.60"
"2025-05-11","7","6","0","0.00","15.57","709.71"
"2025-05-12","5","5","0","0.00","5.00","573.00"
"2025-05-13","5","5","1","20.00","17.80","404.00"
"2025-05-14","4","4","1","25.00","18.50","402.75"
"2025-05-15","5","5","0","0.00","21.60","426.20"
"2025-05-16","4","4","0","0.00","6.75","375.50"
"2025-05-18","3","3","2","66.67","19.33","558.67"
"2025-05-19","7","7","2","28.57","21.57","429.43"
"2025-05-20","3","3","1","33.33","11.67","368.00"
"2025-05-21","4","4","1","25.00","20.25","558.25"
"2025-05-22","3","3","1","33.33","19.67","446.33"
"2025-05-23","4","4","0","0.00","8.75","362.50"
"2025-05-24","5","5","1","20.00","16.60","456.20"
"2025-05-25","3","3","1","33.33","13.33","278.00"
"2025-05-26","3","3","0","0.00","10.00","436.33"
"2025-05-27","2","2","1","50.00","10.50","302.50"
"2025-05-29","6","6","0","0.00","11.50","475.00"
"2025-05-30","5","5","1","20.00","22.40","494.80"
"2025-05-31","2","2","0","0.00","15.00","194.00"
"2025-06-01","3","3","0","0.00","10.33","564.33"
"2025-06-02","2","2","0","0.00","8.50","482.50"
"2025-06-03","9","9","0","0.00","11.89","540.44"
"2025-06-04","4","4","3","75.00","10.75","424.50"
"2025-06-05","4","3","2","50.00","16.00","640.75"
"2025-06-06","4","4","0","0.00","19.00","529.25"
"2025-06-07","2","2","0","0.00","17.50","346.50"
"2025-06-08","3","3","0","0.00","15.00","393.00"
"2025-06-09","3","3","0","0.00","15.33","345.33"
"2025-06-10","3","3","1","33.33","11.00","388.67"
"2025-06-11","6","6","1","16.67","16.17","477.00"
"2025-06-12","5","4","1","20.00","15.20","507.40"
"2025-06-13","2","2","0","0.00","7.00","457.50"
"2025-06-14","3","2","0","0.00","17.00","772.33"
"2025-06-15","5","5","0","0.00","14.20","384.20"
"2025-06-16","4","4","1","25.00","15.50","325.25"
"2025-06-17","1","1","1","100.00","7.00","379.00"
"2025-06-18","1","1","1","100.00","4.00","872.00"
"2025-06-19","6","6","0","0.00","12.50","666.00"
"2025-06-20","2","2","1","50.00","17.50","301.50"
"2025-06-22","3","3","2","66.67","11.67","432.67"
"2025-06-23","1","1","0","0.00","11.00","228.00"
"2025-06-24","4","4","0","0.00","12.25","567.50"
"2025-06-25","2","1","0","0.00","8.00","817.00"
"2025-06-27","3","3","1","33.33","7.67","343.67"
"2025-06-28","5","5","2","40.00","24.60","787.80"
"2025-06-29","3","3","0","0.00","29.33","306.33"
"2025-06-30","5","5","2","40.00","22.40","673.40"
"2025-07-01","5","5","1","20.00","10.40","579.40"
"2025-07-02","5","5","0","0.00","15.20","570.00"
"2025-07-03","4","4","2","50.00","18.00","245.50"
"2025-07-04","2","2","0","0.00","5.50","354.00"
"2025-07-05","1","1","1","100.00","7.00","490.00"
"2025-07-06","7","6","0","0.00","16.71","495.43"
"2025-07-07","2","2","0","0.00","14.50","265.00"
"2025-07-08","4","4","0","0.00","10.75","451.00"
"2025-07-09","9","8","2","22.22","23.44","389.00"
