"date,actual_total_sessions,predicted_total_sessions,predicted_total_sessions_rounded"
"2026-02-05,1.0,3.19,3"
"2026-02-06,2.0,3.17,3"
"2026-02-07,5.0,3.17,3"
"2026-02-08,7.0,3.24,3"
"2026-02-09,1.0,3.22,3"
"2026-02-10,3.0,3.04,3"
"2026-02-11,3.0,3.11,3"
"2026-02-13,2.0,3.2,3"
"2026-02-14,3.0,3.15,3"
"2026-02-15,1.0,3.18,3"
"2026-02-16,5.0,3.15,3"
"2026-02-17,1.0,3.22,3"
"2026-02-18,2.0,3.15,3"
"2026-02-19,1.0,3.14,3"
"2026-02-20,2.0,3.19,3"
"2026-02-21,4.0,3.19,3"
"2026-02-22,2.0,3.23,3"
"2026-02-23,2.0,3.16,3"
"2026-02-24,6.0,3.14,3"
"2026-02-25,1.0,3.24,3"
"2026-02-26,4.0,3.12,3"
"2026-02-27,3.0,3.15,3"
"2026-02-28,2.0,3.19,3"
"2026-03-01,12.0,3.13,3"
"2026-03-02,15.0,3.31,3"
"2026-03-03,23.0,3.25,3"
"2026-03-04,16.0,2.95,3"
"2026-03-05,15.0,2.8,3"
"2026-03-06,16.0,2.81,3"
"2026-03-07,10.0,2.86,3"
"2026-03-08,13.0,2.83,3"
"2026-03-09,9.0,2.94,3"
"2026-03-10,18.0,3.0,3"
"2026-03-11,12.0,3.05,3"
"2026-03-12,16.0,2.94,3"
"2026-03-13,22.0,2.87,3"
"2026-03-14,18.0,2.93,3"
"2026-03-15,15.0,2.79,3"
"2026-03-16,17.0,2.81,3"
"2026-03-17,17.0,2.82,3"
"2026-03-18,16.0,2.84,3"
"2026-03-19,21.0,2.8,3"
"2026-03-20,12.0,2.83,3"
"2026-03-21,14.0,2.82,3"
"2026-03-22,19.0,2.81,3"
"2026-03-23,13.0,2.96,3"
"2026-03-24,14.0,2.82,3"
"2026-03-25,20.0,2.83,3"
"2026-03-26,27.0,2.94,3"
"2026-03-27,21.0,2.84,3"
"2026-03-28,12.0,2.78,3"
"2026-03-29,15.0,2.82,3"
"2026-03-30,13.0,2.81,3"
"2026-03-31,5.0,2.94,3"
"2026-04-01,7.0,2.84,3"
"2026-04-02,3.0,3.01,3"
"2026-04-03,1.0,3.08,3"
"2026-04-04,1.0,3.06,3"
"2026-04-05,3.0,3.16,3"
"2026-04-06,1.0,3.23,3"
"2026-04-07,3.0,3.17,3"
"2026-04-08,1.0,3.19,3"
"2026-04-09,2.0,3.17,3"
"2026-04-10,3.0,3.17,3"
"2026-04-11,2.0,3.21,3"
"2026-04-12,2.0,3.17,3"
"2026-04-13,5.0,3.16,3"
"2026-04-14,2.0,3.22,3"
"2026-04-15,3.0,3.14,3"
"2026-04-17,4.0,3.14,3"
"2026-04-18,2.0,3.2,3"
"2026-04-19,2.0,3.14,3"
"2026-04-20,3.0,3.14,3"
"2026-04-21,2.0,3.2,3"
"2026-04-22,6.0,3.17,3"
"2026-04-23,3.0,3.22,3"
"2026-04-24,4.0,3.15,3"
"2026-04-25,22.0,3.12,3"
"2026-04-26,24.0,3.39,3"
"2026-04-27,6.0,2.98,3"
"2026-04-28,5.0,2.81,3"
"2026-04-29,2.0,2.78,3"
"2026-04-30,6.0,3.07,3"
"2026-05-01,5.0,3.18,3"
"2026-05-02,2.0,3.18,3"
"2026-05-03,7.0,3.07,3"
"2026-05-04,5.0,3.2,3"
"2026-05-05,2.0,3.16,3"
"2026-05-06,1.0,3.05,3"
"2026-05-07,4.0,3.11,3"
"2026-05-08,1.0,3.22,3"
"2026-05-09,4.0,3.16,3"
"2026-05-10,3.0,3.18,3"
"2026-05-11,2.0,3.19,3"
"2026-05-12,11.0,3.13,3"
